epoch,train_loss,val_loss,iou_c0,iou_c1,iou_c2,dice_c0,dice_c1,dice_c2,saved
1,1.797668695449829,2.053001085917155,0.3631987218603345,0.0015282403303382545,0.009560066187226168,0.5328029099169839,0.0030517412363393562,0.01885358279288483,saved
2,1.7522653085844857,1.9425355195999146,0.7871295296849724,0.0,0.010701911088193865,0.8807379627719353,0.0,0.021072329283110414,saved
3,1.6472879307610648,2.0027515093485513,0.7856179665696148,0.0,0.010723049376589069,0.8797871080428689,0.0,0.021113286021067306,saved
4,1.6235964468547277,1.7617011070251465,0.8120380421492553,0.1247498241232445,0.012475256344204674,0.8960846087407398,0.2187674453884427,0.024494665122320926,saved
5,1.596006657396044,1.799911618232727,0.837826606976535,0.1508959521776601,0.015401870696353728,0.9115104741725575,0.26156624988646543,0.030120952016944966,saved
6,1.5669978431292944,1.6205422083536785,0.8525834472723464,0.5084695721505935,0.031242167452974423,0.920169313941619,0.6738566328793526,0.05949645885165721,saved
7,1.5398828898157393,1.8168819348017375,0.8183777470783054,0.14050611061359533,0.013824601509693777,0.8998907543692648,0.24615795475056437,0.027114794298608105,
8,1.5772010769162859,1.6414987246195476,0.8361945489552891,0.24338166474038148,0.01631526382294763,0.9106021459123091,0.38866282552610154,0.03187890590812053,
9,1.503375836781093,1.5416208902994792,0.9074420566034623,0.3175399371315208,0.030276652819020325,0.9513623505828145,0.47888514570387297,0.05799117724838402,
10,1.5199306522096907,1.5379621982574463,0.8768431599714956,0.28704373227967483,0.027499555051745717,0.9341976399870084,0.44447786785330373,0.052871532940262124,
11,1.4658997995512826,1.560319145520528,0.8476193387007012,0.47217696914695356,0.03032292515177874,0.9172942248229327,0.6410400533538754,0.05770196931218019,
12,1.4694059916904993,1.630149523417155,0.9050859423481584,0.22147152576939902,0.027818433900777737,0.9500630625006344,0.3624851178096295,0.05352669565098242,
13,1.4738410370690482,1.5009273290634155,0.9125610121812496,0.3559553227179546,0.03754333022505779,0.9542166804202857,0.5235422738423052,0.071155709864846,saved
14,1.4593045030321394,1.5372594197591145,0.8929057250455298,0.24029618900813188,0.03125084047404306,0.9432902581885596,0.387243029873746,0.05982135445426409,
15,1.4553521360669817,1.657174030939738,0.8906600565407015,0.22604347230650804,0.027117973357296255,0.942011001039411,0.3686117283295936,0.05222627017573422,
16,1.4437828404562814,1.666578729947408,0.9406447055582773,0.6342131100190337,0.0,0.9694117650110058,0.7758751839481451,0.0,
17,1.4548086013112749,1.6809827486673992,0.8438383559506833,0.20746504482368647,0.024539455350716787,0.9150534561460262,0.3435596363786078,0.04740580087510119,
18,1.4352765764508928,1.5565099318822224,0.844136173487745,0.25224762033005965,0.021065050112265307,0.9152526123817162,0.40199067492239254,0.04086351619685919,
19,1.4871678948402405,1.486054539680481,0.8895788687647407,0.29522596223810144,0.025847633141525207,0.9414434964376149,0.4537583951299515,0.04986700137552991,
20,1.4671552096094405,1.4619752168655396,0.8767180162374787,0.4177445494901533,0.03670438830644521,0.934089179660189,0.5883278988924511,0.0694237762697418,
21,1.411702641419002,1.4742122491200764,0.8566811594409202,0.4845538639587224,0.03204484502511288,0.9226291641193524,0.6522852094139776,0.06082027680173577,
22,1.438608169555664,1.4236417214075725,0.9136763881643314,0.37605049664832396,0.03460172012713924,0.9548078485307941,0.544349350168731,0.06581520879752291,
23,1.4081714919635229,1.505794843037923,0.8704440862379839,0.2851379888197534,0.026559591301825686,0.93054126215764,0.44282935612034574,0.05116160885620453,
24,1.4379239337784904,1.6108791430791218,0.901384777619547,0.2519580367150102,0.02609213870755797,0.9480557205333343,0.40207825466084907,0.05030528093972766,
25,1.4437490361077445,1.5938504536946614,0.928635788170452,0.26787832763897906,0.028984080180234278,0.9629569415650409,0.42214776990985453,0.05588015967811494,
26,1.4169976285525732,2.1361518700917563,0.8933322949056727,0.1317586958676216,0.0,0.9436220709526286,0.22333144305751093,0.0,
27,1.418989556176322,1.4989643891652424,0.9053423109332837,0.28346804680732024,0.03231795535036991,0.9502008416710392,0.4413006619868394,0.06187530687085336,
28,1.3886193547930037,1.5388912359873455,0.8385510280044818,0.44375095741418535,0.030217465679856545,0.9119015066082916,0.6142685936684679,0.05758367543419687,
29,1.3488724487168449,1.5689314206441243,0.9382514815116375,0.49449009678733075,0.018180338379654545,0.9681364107548527,0.6604504435449458,0.03545799836280105,
30,1.419602700642177,1.8609471718470256,0.7941968933002826,0.1848418210557846,0.014489279990971835,0.8851463951920723,0.3119646565693957,0.02840958770890088,
31,1.407628493649619,1.4523017406463623,0.9001321783673708,0.3166005022862958,0.03178797064672028,0.9473119310785924,0.47984009826081014,0.060848941075485996,
32,1.3890584366662162,1.5242292881011963,0.9362068116094369,0.49976569296481405,0.025666459377612444,0.9670278151411997,0.6651742355494861,0.049561502461953955,
33,1.3759839194161552,1.4154098431269329,0.8831156661793197,0.5105296784701726,0.06207827212962889,0.9376939611297482,0.675315205483845,0.1130598694572887,saved
34,1.3894739321299963,1.6530696948369343,0.9406781829192701,0.30023666779841135,0.027630826997997755,0.9693901785733146,0.46116045561344327,0.053436614980151564,
35,1.4103362900870187,1.4408278862635295,0.9225494110405669,0.5556039725045698,0.05764919784635849,0.9596346436796428,0.7137210233640898,0.10630539404235728,
36,1.3691644753728593,1.4802647431691487,0.8508780899692359,0.4800269361460443,0.039615371054266366,0.9191367760991133,0.6471518627385516,0.07427135265234022,
37,1.3613920041493006,1.5663684209187825,0.8834243393455226,0.2598616931563432,0.03231226619531693,0.9379028498023372,0.41234381375890744,0.06189016299620701,
38,1.362800853593009,1.5340391000111897,0.8972806389785338,0.2971004857178407,0.033458650305613874,0.9457185523909327,0.4576602186617003,0.0638805450279136,
39,1.3631114533969335,1.513705849647522,0.8656820346466865,0.30837569389597336,0.026720537287898916,0.9278654485729166,0.47041370761193674,0.05141117483296833,
40,1.3468035800116402,1.3884755770365398,0.9091775240501541,0.5553766467778146,0.07028050782902308,0.9523258744492193,0.713841204862733,0.12685991859581727,saved
41,1.3631043774741036,1.756145715713501,0.9393045821270092,0.3242880960471509,0.013877012115171184,0.9687006279076877,0.48956218886457764,0.027322959360500877,
42,1.3430280004228865,1.9547144571940105,0.9289685558110872,0.5509788650672149,0.0,0.9631408246849004,0.7081710120897381,0.0,
43,1.3193925789424352,1.5176765124003093,0.9087970714735166,0.5056792348954094,0.025255298811652827,0.9521130400219849,0.6707247808088918,0.04867513217549433,
44,1.405131893498557,1.835850715637207,0.9313155179344214,0.26206534827844,0.026738965358767103,0.964362895004862,0.41509782100275094,0.05168062526935524,
45,1.3505365763391768,1.9208428859710693,0.9353029867584436,0.5202775370000438,0.003598869766746071,0.9665423706426178,0.6831212256371896,0.007166176397839427,
46,1.3661302328109741,1.5700518290201824,0.90180276719807,0.27266890504416774,0.03421591102146859,0.9482370820893383,0.42838728799858766,0.06535967384051383,
47,1.3365924784115382,1.8887077569961548,0.938728161959972,0.49954191109530766,0.0007126961986018633,0.9683629285283336,0.6659599719591865,0.001423808822228207,
48,1.4221855998039246,1.5259335835774739,0.8490373600978739,0.4876247648930349,0.028345122820028244,0.9181541509734057,0.6545957194639143,0.054114024358737224,
49,1.4058012962341309,1.4543763399124146,0.9119765506355227,0.3452042119514815,0.03327616745399132,0.953857523946109,0.5119573764446929,0.06368616699038525,
50,1.3629600490842546,1.533583442370097,0.8839166480970085,0.2753769535594904,0.029091016369201434,0.9382080370944754,0.4315074614842857,0.05596357166711514,
51,1.3784575292042323,1.5459221204121907,0.8791694498953877,0.28059616865432413,0.02883445909177421,0.9354714591352119,0.43789498533859245,0.05550241720676072,
52,1.3853679554803031,1.6003914674123128,0.9387844394130354,0.2678296792792809,0.027346691627940456,0.9684139450925012,0.4219815179092819,0.052899551434492764,
53,1.3786263040133886,2.429412921269735,0.9056325567576514,0.0784826863737904,0.0032610953287610153,0.9504214017157263,0.14158033791260302,0.006495392341072937,
54,1.329020082950592,1.4995290835698445,0.9147447789430432,0.5713319498752258,0.03368135668889193,0.9554000922268925,0.7268397961926562,0.06419580927798145,
55,1.3334949953215463,1.3951698541641235,0.8965243890772788,0.49014199953074034,0.06312898492723355,0.9452553939480121,0.6574188784473461,0.1157701325314444,
