image_path,mask_path,subject
cold_outputs/synthetic/fold_6/images/syn_000.png,cold_outputs/synthetic/fold_6/masks/syn_000.png,synthetic_fold_6
cold_outputs/synthetic/fold_6/images/syn_001.png,cold_outputs/synthetic/fold_6/masks/syn_001.png,synthetic_fold_6
cold_outputs/synthetic/fold_6/images/syn_002.png,cold_outputs/synthetic/fold_6/masks/syn_002.png,synthetic_fold_6
cold_outputs/synthetic/fold_6/images/syn_003.png,cold_outputs/synthetic/fold_6/masks/syn_003.png,synthetic_fold_6
cold_outputs/synthetic/fold_6/images/syn_004.png,cold_outputs/synthetic/fold_6/masks/syn_004.png,synthetic_fold_6
cold_outputs/synthetic/fold_6/images/syn_005.png,cold_outputs/synthetic/fold_6/masks/syn_005.png,synthetic_fold_6
cold_outputs/synthetic/fold_6/images/syn_006.png,cold_outputs/synthetic/fold_6/masks/syn_006.png,synthetic_fold_6
cold_outputs/synthetic/fold_6/images/syn_007.png,cold_outputs/synthetic/fold_6/masks/syn_007.png,synthetic_fold_6
cold_outputs/synthetic/fold_6/images/syn_008.png,cold_outputs/synthetic/fold_6/masks/syn_008.png,synthetic_fold_6
cold_outputs/synthetic/fold_6/images/syn_009.png,cold_outputs/synthetic/fold_6/masks/syn_009.png,synthetic_fold_6
cold_outputs/synthetic/fold_6/images/syn_010.png,cold_outputs/synthetic/fold_6/masks/syn_010.png,synthetic_fold_6
cold_outputs/synthetic/fold_6/images/syn_011.png,cold_outputs/synthetic/fold_6/masks/syn_011.png,synthetic_fold_6
cold_outputs/synthetic/fold_6/images/syn_012.png,cold_outputs/synthetic/fold_6/masks/syn_012.png,synthetic_fold_6
cold_outputs/synthetic/fold_6/images/syn_013.png,cold_outputs/synthetic/fold_6/masks/syn_013.png,synthetic_fold_6
cold_outputs/synthetic/fold_6/images/syn_014.png,cold_outputs/synthetic/fold_6/masks/syn_014.png,synthetic_fold_6
cold_outputs/synthetic/fold_6/images/syn_015.png,cold_outputs/synthetic/fold_6/masks/syn_015.png,synthetic_fold_6
cold_outputs/synthetic/fold_6/images/syn_016.png,cold_outputs/synthetic/fold_6/masks/syn_016.png,synthetic_fold_6
cold_outputs/synthetic/fold_6/images/syn_017.png,cold_outputs/synthetic/fold_6/masks/syn_017.png,synthetic_fold_6
cold_outputs/synthetic/fold_6/images/syn_018.png,cold_outputs/synthetic/fold_6/masks/syn_018.png,synthetic_fold_6
cold_outputs/synthetic/fold_6/images/syn_019.png,cold_outputs/synthetic/fold_6/masks/syn_019.png,synthetic_fold_6
cold_outputs/synthetic/fold_6/images/syn_020.png,cold_outputs/synthetic/fold_6/masks/syn_020.png,synthetic_fold_6
cold_outputs/synthetic/fold_6/images/syn_021.png,cold_outputs/synthetic/fold_6/masks/syn_021.png,synthetic_fold_6
cold_outputs/synthetic/fold_6/images/syn_022.png,cold_outputs/synthetic/fold_6/masks/syn_022.png,synthetic_fold_6
cold_outputs/synthetic/fold_6/images/syn_023.png,cold_outputs/synthetic/fold_6/masks/syn_023.png,synthetic_fold_6
cold_outputs/synthetic/fold_6/images/syn_024.png,cold_outputs/synthetic/fold_6/masks/syn_024.png,synthetic_fold_6
cold_outputs/synthetic/fold_6/images/syn_025.png,cold_outputs/synthetic/fold_6/masks/syn_025.png,synthetic_fold_6
cold_outputs/synthetic/fold_6/images/syn_026.png,cold_outputs/synthetic/fold_6/masks/syn_026.png,synthetic_fold_6
cold_outputs/synthetic/fold_6/images/syn_027.png,cold_outputs/synthetic/fold_6/masks/syn_027.png,synthetic_fold_6
cold_outputs/synthetic/fold_6/images/syn_028.png,cold_outputs/synthetic/fold_6/masks/syn_028.png,synthetic_fold_6
cold_outputs/synthetic/fold_6/images/syn_029.png,cold_outputs/synthetic/fold_6/masks/syn_029.png,synthetic_fold_6
cold_outputs/synthetic/fold_6/images/syn_030.png,cold_outputs/synthetic/fold_6/masks/syn_030.png,synthetic_fold_6
cold_outputs/synthetic/fold_6/images/syn_031.png,cold_outputs/synthetic/fold_6/masks/syn_031.png,synthetic_fold_6
cold_outputs/synthetic/fold_6/images/syn_032.png,cold_outputs/synthetic/fold_6/masks/syn_032.png,synthetic_fold_6
cold_outputs/synthetic/fold_6/images/syn_033.png,cold_outputs/synthetic/fold_6/masks/syn_033.png,synthetic_fold_6
cold_outputs/synthetic/fold_6/images/syn_034.png,cold_outputs/synthetic/fold_6/masks/syn_034.png,synthetic_fold_6
cold_outputs/synthetic/fold_6/images/syn_035.png,cold_outputs/synthetic/fold_6/masks/syn_035.png,synthetic_fold_6
cold_outputs/synthetic/fold_6/images/syn_036.png,cold_outputs/synthetic/fold_6/masks/syn_036.png,synthetic_fold_6
cold_outputs/synthetic/fold_6/images/syn_037.png,cold_outputs/synthetic/fold_6/masks/syn_037.png,synthetic_fold_6
cold_outputs/synthetic/fold_6/images/syn_038.png,cold_outputs/synthetic/fold_6/masks/syn_038.png,synthetic_fold_6
cold_outputs/synthetic/fold_6/images/syn_039.png,cold_outputs/synthetic/fold_6/masks/syn_039.png,synthetic_fold_6
cold_outputs/synthetic/fold_6/images/syn_040.png,cold_outputs/synthetic/fold_6/masks/syn_040.png,synthetic_fold_6
cold_outputs/synthetic/fold_6/images/syn_041.png,cold_outputs/synthetic/fold_6/masks/syn_041.png,synthetic_fold_6
cold_outputs/synthetic/fold_6/images/syn_042.png,cold_outputs/synthetic/fold_6/masks/syn_042.png,synthetic_fold_6
cold_outputs/synthetic/fold_6/images/syn_043.png,cold_outputs/synthetic/fold_6/masks/syn_043.png,synthetic_fold_6
cold_outputs/synthetic/fold_6/images/syn_044.png,cold_outputs/synthetic/fold_6/masks/syn_044.png,synthetic_fold_6
cold_outputs/synthetic/fold_6/images/syn_045.png,cold_outputs/synthetic/fold_6/masks/syn_045.png,synthetic_fold_6
cold_outputs/synthetic/fold_6/images/syn_046.png,cold_outputs/synthetic/fold_6/masks/syn_046.png,synthetic_fold_6
cold_outputs/synthetic/fold_6/images/syn_047.png,cold_outputs/synthetic/fold_6/masks/syn_047.png,synthetic_fold_6
cold_outputs/synthetic/fold_6/images/syn_048.png,cold_outputs/synthetic/fold_6/masks/syn_048.png,synthetic_fold_6
cold_outputs/synthetic/fold_6/images/syn_049.png,cold_outputs/synthetic/fold_6/masks/syn_049.png,synthetic_fold_6
cold_outputs/synthetic/fold_6/images/syn_050.png,cold_outputs/synthetic/fold_6/masks/syn_050.png,synthetic_fold_6
